,Freq,Genes
SYNPR,4,SYNPR
SYTL1,4,SYTL1
TAC1,4,TAC1
TACR1,4,TACR1
TADA1,4,TADA1
TAS1R3,4,TAS1R3
TAS2R20,4,TAS2R20
TAS2R39,4,TAS2R39
TAZ,4,TAZ
TBC1D12,4,TBC1D12
TBL1XR1,4,TBL1XR1
TCEB3,4,TCEB3
TCF12,4,TCF12
TCL1A,4,TCL1A
TDG,4,TDG
TEDDM1,4,TEDDM1
TEKT4,4,TEKT4
TERT,4,TERT
TEX101,4,TEX101
TFAP2C,4,TFAP2C
TFB2M,4,TFB2M
TFDP3,4,TFDP3
TFF2,4,TFF2
TFIP11,4,TFIP11
TFPI,4,TFPI
TFRC,4,TFRC
TGFBI,4,TGFBI
THBS4,4,THBS4
THOC6,4,THOC6
THRA,4,THRA
THRB,4,THRB
THUMPD2,4,THUMPD2
TICAM1,4,TICAM1
TIMMDC1,4,TIMMDC1
TIMP4,4,TIMP4
TLR3,4,TLR3
TM2D1,4,TM2D1
TM6SF2,4,TM6SF2
TM9SF2,4,TM9SF2
TMBIM6,4,TMBIM6
TMC6,4,TMC6
TMCO3,4,TMCO3
TMED1,4,TMED1
TMEM171,4,TMEM171
TMEM176A,4,TMEM176A
TMEM18,4,TMEM18
TMEM19,4,TMEM19
TMEM202,4,TMEM202
TMEM214,4,TMEM214
TMEM225,4,TMEM225
TMEM255B,4,TMEM255B
TMEM47,4,TMEM47
TMEM51,4,TMEM51
TMEM52B,4,TMEM52B
TMEM59L,4,TMEM59L
TMEM63C,4,TMEM63C
TMEM74B,4,TMEM74B
TMEM8A,4,TMEM8A
TMIGD2,4,TMIGD2
TMOD3,4,TMOD3
TMPPE,4,TMPPE
TMPRSS12,4,TMPRSS12
TMX4,4,TMX4
TNFSF18,4,TNFSF18
TNNI3,4,TNNI3
TNNT2,4,TNNT2
TNPO3,4,TNPO3
TNRC18,4,TNRC18
TNS4,4,TNS4
TOB1,4,TOB1
TOP1MT,4,TOP1MT
TPPP2,4,TPPP2
TRAF3,4,TRAF3
TRAF5,4,TRAF5
TRAF6,4,TRAF6
TRAK1,4,TRAK1
TRAM2,4,TRAM2
TRAV10,4,TRAV10
TRAV18,4,TRAV18
TRAV22,4,TRAV22
TRAV26-1,4,TRAV26-1
TRAV27,4,TRAV27
TRAV5,4,TRAV5
TRBV5-1,4,TRBV5-1
TRDN,4,TRDN
TREML1,4,TREML1
TREML2,4,TREML2
TRGC1,4,TRGC1
TRIM33,4,TRIM33
TRIM4,4,TRIM4
TRIM6,4,TRIM6
TRMT10C,4,TRMT10C
TRMT1L,4,TRMT1L
TRMT5,4,TRMT5
TSGA13,4,TSGA13
TSHB,4,TSHB
TSPAN12,4,TSPAN12
TSPAN33,4,TSPAN33
TSPAN8,4,TSPAN8
TTC23,4,TTC23
TTC23L,4,TTC23L
TTLL1,4,TTLL1
TUBB6,4,TUBB6
TUBD1,4,TUBD1
TUBG1,4,TUBG1
TUT1,4,TUT1
TXLNG,4,TXLNG
TXNDC9,4,TXNDC9
TXNIP,4,TXNIP
TXNRD1,4,TXNRD1
TYW1,4,TYW1
U2AF1L4,4,U2AF1L4
UAP1,4,UAP1
UBD,4,UBD
UBIAD1,4,UBIAD1
UBN1,4,UBN1
UBOX5,4,UBOX5
UBQLN1,4,UBQLN1
UBR7,4,UBR7
UBXN1,4,UBXN1
UCMA,4,UCMA
UEVLD,4,UEVLD
UGT1A8,4,UGT1A8
UHRF1,4,UHRF1
UNC5CL,4,UNC5CL
UNCX,4,UNCX
UQCRB,4,UQCRB
USP2,4,USP2
USP43,4,USP43
USP46,4,USP46
USP9Y,4,USP9Y
UTP14C,4,UTP14C
UTS2B,4,UTS2B
VCPIP1,4,VCPIP1
VEZF1,4,VEZF1
VHLL,4,VHLL
VIM,4,VIM
VLDLR,4,VLDLR
VPREB1,4,VPREB1
VPS11,4,VPS11
VPS33A,4,VPS33A
VPS53,4,VPS53
VPS9D1,4,VPS9D1
VSIG2,4,VSIG2
VSIG4,4,VSIG4
VSTM1,4,VSTM1
VSX1,4,VSX1
VTN,4,VTN
WARS,4,WARS
WASF2,4,WASF2
WBP1L,4,WBP1L
WDR11,4,WDR11
WDR25,4,WDR25
WDR27,4,WDR27
WDR61,4,WDR61
WDR81,4,WDR81
WDSUB1,4,WDSUB1
WDTC1,4,WDTC1
WIF1,4,WIF1
WIPF2,4,WIPF2
WIPI1,4,WIPI1
WISP3,4,WISP3
WNT2,4,WNT2
WNT7B,4,WNT7B
XAGE2,4,XAGE2
XG,4,XG
XPO6,4,XPO6
XPO7,4,XPO7
XRCC1,4,XRCC1
XRCC2,4,XRCC2
XXbac-BPG32J3.19,4,XXbac-BPG32J3.19
YAE1D1,4,YAE1D1
YIPF7,4,YIPF7
YTHDF3,4,YTHDF3
YWHAQ,4,YWHAQ
ZBED8,4,ZBED8
ZBP1,4,ZBP1
ZBTB2,4,ZBTB2
ZBTB22,4,ZBTB22
ZBTB34,4,ZBTB34
ZBTB40,4,ZBTB40
ZBTB45,4,ZBTB45
ZBTB46,4,ZBTB46
ZC3H11A,4,ZC3H11A
ZC4H2,4,ZC4H2
ZCCHC6,4,ZCCHC6
ZCCHC8,4,ZCCHC8
ZFAND2B,4,ZFAND2B
ZFAND4,4,ZFAND4
ZFP28,4,ZFP28
ZFP69B,4,ZFP69B
ZFX,4,ZFX
ZKSCAN8,4,ZKSCAN8
ZMYM5,4,ZMYM5
ZMYM6,4,ZMYM6
ZNF114,4,ZNF114
ZNF121,4,ZNF121
ZNF132,4,ZNF132
ZNF136,4,ZNF136
ZNF14,4,ZNF14
ZNF143,4,ZNF143
ZNF165,4,ZNF165
ZNF174,4,ZNF174
ZNF18,4,ZNF18
ZNF182,4,ZNF182
ZNF19,4,ZNF19
ZNF219,4,ZNF219
ZNF23,4,ZNF23
ZNF273,4,ZNF273
ZNF275,4,ZNF275
ZNF277,4,ZNF277
ZNF286B,4,ZNF286B
ZNF3,4,ZNF3
ZNF302,4,ZNF302
ZNF324B,4,ZNF324B
ZNF34,4,ZNF34
ZNF350,4,ZNF350
ZNF395,4,ZNF395
ZNF417,4,ZNF417
ZNF430,4,ZNF430
ZNF433,4,ZNF433
ZNF44,4,ZNF44
ZNF441,4,ZNF441
ZNF45,4,ZNF45
ZNF471,4,ZNF471
ZNF483,4,ZNF483
ZNF511,4,ZNF511
ZNF519,4,ZNF519
ZNF540,4,ZNF540
ZNF563,4,ZNF563
ZNF573,4,ZNF573
ZNF581,4,ZNF581
ZNF587,4,ZNF587
ZNF594,4,ZNF594
ZNF605,4,ZNF605
ZNF609,4,ZNF609
ZNF614,4,ZNF614
ZNF619,4,ZNF619
ZNF668,4,ZNF668
ZNF692,4,ZNF692
ZNF701,4,ZNF701
ZNF704,4,ZNF704
ZNF707,4,ZNF707
ZNF765,4,ZNF765
ZNF776,4,ZNF776
ZNF781,4,ZNF781
ZNF793,4,ZNF793
ZNF93,4,ZNF93
ZRANB2,4,ZRANB2
ZSCAN25,4,ZSCAN25
ZSWIM4,4,ZSWIM4
ZYX,4,ZYX
A1BG,3,A1BG
AAMP,3,AAMP
AATK,3,AATK
ABCB6,3,ABCB6
ABHD16B,3,ABHD16B
AC004381.6,3,AC004381.6
AC104389.1,3,AC104389.1
ACAP1,3,ACAP1
ACBD4,3,ACBD4
ACD,3,ACD
ACHE,3,ACHE
ACLY,3,ACLY
ACMSD,3,ACMSD
ACOT9,3,ACOT9
ACOX2,3,ACOX2
ACP1,3,ACP1
ACP2,3,ACP2
ACP5,3,ACP5
ACRV1,3,ACRV1
ACSBG2,3,ACSBG2
ACSL3,3,ACSL3
ACSL5,3,ACSL5
ACSM3,3,ACSM3
ACTBL2,3,ACTBL2
ACTR1B,3,ACTR1B
ACTR2,3,ACTR2
ACTR6,3,ACTR6
ACTRT3,3,ACTRT3
ACVR2B,3,ACVR2B
ADAMTS8,3,ADAMTS8
ADAMTSL5,3,ADAMTSL5
ADAP2,3,ADAP2
ADCK4,3,ADCK4
ADCYAP1,3,ADCYAP1
ADK,3,ADK
ADORA2A,3,ADORA2A
ADORA3,3,ADORA3
ADPRHL1,3,ADPRHL1
ADPRM,3,ADPRM
ADRB3,3,ADRB3
AEN,3,AEN
AFAP1,3,AFAP1
AFMID,3,AFMID
AGAP5,3,AGAP5
AGAP6,3,AGAP6
AGFG2,3,AGFG2
AGMAT,3,AGMAT
AGPAT2,3,AGPAT2
AGPAT3,3,AGPAT3
AGPAT6,3,AGPAT6
AIFM2,3,AIFM2
AIG1,3,AIG1
AJUBA,3,AJUBA
AKR1C1,3,AKR1C1
AKR1E2,3,AKR1E2
AKT1,3,AKT1
ALDH3B2,3,ALDH3B2
ALDH6A1,3,ALDH6A1
ALG1,3,ALG1
ALG2,3,ALG2
ALKBH8,3,ALKBH8
ALOX15,3,ALOX15
ALOX5AP,3,ALOX5AP
ALPL,3,ALPL
AMIGO1,3,AMIGO1
AMIGO2,3,AMIGO2
AMTN,3,AMTN
ANKFY1,3,ANKFY1
ANKMY2,3,ANKMY2
ANKRD13C,3,ANKRD13C
ANKRD20A1,3,ANKRD20A1
ANKRD29,3,ANKRD29
ANKRD36B,3,ANKRD36B
ANKRD40,3,ANKRD40
ANKRD52,3,ANKRD52
ANKRD53,3,ANKRD53
ANXA13,3,ANXA13
ANXA9,3,ANXA9
AP1M2,3,AP1M2
AP2A1,3,AP2A1
AP3M1,3,AP3M1
AP4E1,3,AP4E1
APBA3,3,APBA3
APH1A,3,APH1A
APLF,3,APLF
APOBEC3A,3,APOBEC3A
APOBEC3D,3,APOBEC3D
APOBEC3H,3,APOBEC3H
APOL3,3,APOL3
APOL6,3,APOL6
APPL1,3,APPL1
AQP1,3,AQP1
AQP4,3,AQP4
AQP8,3,AQP8
ARAF,3,ARAF
ARFGAP3,3,ARFGAP3
ARFIP1,3,ARFIP1
ARHGAP26,3,ARHGAP26
ARHGAP39,3,ARHGAP39
ARHGDIB,3,ARHGDIB
ARIH1,3,ARIH1
ARL2,3,ARL2
ARL2BP,3,ARL2BP
ARMC7,3,ARMC7
ARMCX1,3,ARMCX1
ARMCX3,3,ARMCX3
ARMCX6,3,ARMCX6
ARMS2,3,ARMS2
ARNTL,3,ARNTL
ARPC1B,3,ARPC1B
ARR3,3,ARR3
ARRDC5,3,ARRDC5
ART1,3,ART1
ART4,3,ART4
ARV1,3,ARV1
ASAH1,3,ASAH1
ASB16,3,ASB16
ASGR2,3,ASGR2
ASH2L,3,ASH2L
ASNA1,3,ASNA1
ASPHD2,3,ASPHD2
ASPN,3,ASPN
ASPRV1,3,ASPRV1
ASRGL1,3,ASRGL1
ATAD1,3,ATAD1
ATE1,3,ATE1
ATF4,3,ATF4
ATF7,3,ATF7
ATG101,3,ATG101
ATG3,3,ATG3
ATG4C,3,ATG4C
ATG5,3,ATG5
ATHL1,3,ATHL1
ATL3,3,ATL3
ATP5A1,3,ATP5A1
ATP5SL,3,ATP5SL
ATP6AP2,3,ATP6AP2
ATP6V1B1,3,ATP6V1B1
ATXN3,3,ATXN3
AURKB,3,AURKB
AVEN,3,AVEN
AWAT1,3,AWAT1
AXL,3,AXL
AZGP1,3,AZGP1
AZI2,3,AZI2
B3GALT2,3,B3GALT2
B3GAT3,3,B3GAT3
B3GNT2,3,B3GNT2
B3GNT4,3,B3GNT4
B4GALT2,3,B4GALT2
B4GAT1,3,B4GAT1
BAG3,3,BAG3
BAG6,3,BAG6
BAIAP2,3,BAIAP2
BAIAP2L1,3,BAIAP2L1
BANP,3,BANP
BAX,3,BAX
BCAP31,3,BCAP31
BCAR3,3,BCAR3
BCAT1,3,BCAT1
BCL10,3,BCL10
BCL2L11,3,BCL2L11
BCL3,3,BCL3
BCL6B,3,BCL6B
BDH1,3,BDH1
BEGAIN,3,BEGAIN
BEX2,3,BEX2
BFSP1,3,BFSP1
BHLHE22,3,BHLHE22
BIN1,3,BIN1
BIRC3,3,BIRC3
BIVM-ERCC5,3,BIVM-ERCC5
BLVRA,3,BLVRA
BNIP1,3,BNIP1
BOLA1,3,BOLA1
BPGM,3,BPGM
BPIFA2,3,BPIFA2
BRAP,3,BRAP
BRPF1,3,BRPF1
BTBD6,3,BTBD6
BTG2,3,BTG2
C10orf11,3,C10orf11
C10orf82,3,C10orf82
C11orf24,3,C11orf24
C11orf53,3,C11orf53
C11orf74,3,C11orf74
C12orf4,3,C12orf4
C12orf56,3,C12orf56
C14orf166,3,C14orf166
C15orf53,3,C15orf53
C16orf58,3,C16orf58
C16orf93,3,C16orf93
C18orf8,3,C18orf8
C19orf18,3,C19orf18
C19orf57,3,C19orf57
C1orf131,3,C1orf131
C1orf226,3,C1orf226
C1orf61,3,C1orf61
C1orf74,3,C1orf74
C1QL3,3,C1QL3
C1QTNF1,3,C1QTNF1
C20orf195,3,C20orf195
C22orf29,3,C22orf29
C2orf42,3,C2orf42
C2orf70,3,C2orf70
C3orf70,3,C3orf70
C4BPA,3,C4BPA
C4orf22,3,C4orf22
C4orf51,3,C4orf51
C5orf24,3,C5orf24
C5orf34,3,C5orf34
C5orf58,3,C5orf58
C6orf203,3,C6orf203
C7orf25,3,C7orf25
C7orf55-LUC7L2,3,C7orf55-LUC7L2
C8orf22,3,C8orf22
C9orf156,3,C9orf156
C9orf24,3,C9orf24
C9orf50,3,C9orf50
C9orf64,3,C9orf64
C9orf91,3,C9orf91
CA6,3,CA6
CABLES1,3,CABLES1
CABP1,3,CABP1
CALCB,3,CALCB
CAMK1D,3,CAMK1D
CAMK1G,3,CAMK1G
CAMK2N1,3,CAMK2N1
CAMKK2,3,CAMKK2
CAP2,3,CAP2
CARD16,3,CARD16
CARD18,3,CARD18
CARM1,3,CARM1
CARNS1,3,CARNS1
CASC4,3,CASC4
CASP14,3,CASP14
CASQ2,3,CASQ2
CBLL1,3,CBLL1
CBWD5,3,CBWD5
CCAR2,3,CCAR2
CCDC113,3,CCDC113
CCDC114,3,CCDC114
CCDC115,3,CCDC115
CCDC117,3,CCDC117
CCDC122,3,CCDC122
CCDC134,3,CCDC134
CCDC17,3,CCDC17
CCDC185,3,CCDC185
CCDC24,3,CCDC24
CCDC3,3,CCDC3
CCDC38,3,CCDC38
CCDC50,3,CCDC50
CCDC61,3,CCDC61
CCDC62,3,CCDC62
CCDC65,3,CCDC65
CCDC68,3,CCDC68
CCDC8,3,CCDC8
CCDC90B,3,CCDC90B
CCDC94,3,CCDC94
CCDC96,3,CCDC96
CCL1,3,CCL1
CCL14,3,CCL14
CCL15,3,CCL15
CCL23,3,CCL23
CCL28,3,CCL28
CCL3L3,3,CCL3L3
CCNA2,3,CCNA2
CCNB1IP1,3,CCNB1IP1
CCND2,3,CCND2
CCNJL,3,CCNJL
CCPG1,3,CCPG1
CCR3,3,CCR3
CCR4,3,CCR4
CCT3,3,CCT3
CCT5,3,CCT5
CD14,3,CD14
CD200,3,CD200
CD200R1L,3,CD200R1L
CD207,3,CD207
CD209,3,CD209
CD2BP2,3,CD2BP2
CD300LD,3,CD300LD
CD3EAP,3,CD3EAP
CD40,3,CD40
CD46,3,CD46
CD47,3,CD47
CD79B,3,CD79B
CD8A,3,CD8A
CD9,3,CD9
CD99,3,CD99
CDC123,3,CDC123
CDC16,3,CDC16
CDC23,3,CDC23
CDC25A,3,CDC25A
CDC42EP4,3,CDC42EP4
CDC6,3,CDC6
CDCA7L,3,CDCA7L
CDCP1,3,CDCP1
CDK4,3,CDK4
CDK7,3,CDK7
CDKL2,3,CDKL2
CDS1,3,CDS1
CEACAM21,3,CEACAM21
CEACAM6,3,CEACAM6
CECR5,3,CECR5
CELA1,3,CELA1
CELF1,3,CELF1
CELF5,3,CELF5
CENPC,3,CENPC
CENPQ,3,CENPQ
CENPT,3,CENPT
CENPU,3,CENPU
CEP290,3,CEP290
CEP44,3,CEP44
CEP68,3,CEP68
CEP70,3,CEP70
CEP95,3,CEP95
CEP97,3,CEP97
CGB1,3,CGB1
CGREF1,3,CGREF1
CGRRF1,3,CGRRF1
CHCHD6,3,CHCHD6
CHI3L2,3,CHI3L2
CHKA,3,CHKA
CHMP4B,3,CHMP4B
CHMP4C,3,CHMP4C
CHMP7,3,CHMP7
CHRDL2,3,CHRDL2
CHRFAM7A,3,CHRFAM7A
CHRNA5,3,CHRNA5
CHST10,3,CHST10
CHST4,3,CHST4
CIB3,3,CIB3
CIB4,3,CIB4
CIPC,3,CIPC
CLCNKA,3,CLCNKA
CLDN11,3,CLDN11
CLDN22,3,CLDN22
CLDN4,3,CLDN4
CLEC7A,3,CLEC7A
CLIC5,3,CLIC5
CLIC6,3,CLIC6
CLP1,3,CLP1
CLPTM1L,3,CLPTM1L
CLU,3,CLU
CLYBL,3,CLYBL
CNN1,3,CNN1
CNR2,3,CNR2
CNRIP1,3,CNRIP1
CNTF,3,CNTF
COG1,3,COG1
COG8,3,COG8
COIL,3,COIL
COL8A1,3,COL8A1
COMP,3,COMP
COPS2,3,COPS2
COQ10B,3,COQ10B
COTL1,3,COTL1
COX10,3,COX10
COX4I1,3,COX4I1
COX7B2,3,COX7B2
CPEB3,3,CPEB3
CPNE2,3,CPNE2
CPO,3,CPO
CPOX,3,CPOX
CPPED1,3,CPPED1
CPSF3L,3,CPSF3L
CPSF6,3,CPSF6
CPT1B,3,CPT1B
CRABP1,3,CRABP1
CRABP2,3,CRABP2
CRACR2A,3,CRACR2A
CRADD,3,CRADD
CREB1,3,CREB1
CREBZF,3,CREBZF
CRELD2,3,CRELD2
CREM,3,CREM
CRIPT,3,CRIPT
CRKL,3,CRKL
CRYBA4,3,CRYBA4
CRYBB3,3,CRYBB3
CRYGN,3,CRYGN
CRYGS,3,CRYGS
CRYL1,3,CRYL1
CSAG1,3,CSAG1
CSGALNACT1,3,CSGALNACT1
CSH2,3,CSH2
CSN3,3,CSN3
CSNK1G2,3,CSNK1G2
CSNK2A2,3,CSNK2A2
CSTL1,3,CSTL1
CT45A10,3,CT45A10
CTAG2,3,CTAG2
CTAGE15,3,CTAGE15
CTAGE4,3,CTAGE4
CTBP1,3,CTBP1
CTDSP1,3,CTDSP1
CTDSP2,3,CTDSP2
CTDSPL2,3,CTDSPL2
CTNNAL1,3,CTNNAL1
CTSC,3,CTSC
CTSE,3,CTSE
CTU2,3,CTU2
CUL5,3,CUL5
CX3CL1,3,CX3CL1
CXCL9,3,CXCL9
CXCR4,3,CXCR4
CXorf65,3,CXorf65
CXXC4,3,CXXC4
CYB5D2,3,CYB5D2
CYP19A1,3,CYP19A1
CYP27B1,3,CYP27B1
CYP2A7,3,CYP2A7
CYP2C8,3,CYP2C8
CYP2D7,3,CYP2D7
CYP2R1,3,CYP2R1
CYP2S1,3,CYP2S1
CYP4A22,3,CYP4A22
CYP8B1,3,CYP8B1
CYSLTR1,3,CYSLTR1
CYTH1,3,CYTH1
CYTH2,3,CYTH2
DAG1,3,DAG1
DAK,3,DAK
DAP3,3,DAP3
DAPK2,3,DAPK2
DARS2,3,DARS2
DAZAP1,3,DAZAP1
DBF4B,3,DBF4B
DCAF15,3,DCAF15
DCAF17,3,DCAF17
DCAKD,3,DCAKD
DCDC2,3,DCDC2
DCLK2,3,DCLK2
DCPS,3,DCPS
DCUN1D2,3,DCUN1D2
DCUN1D4,3,DCUN1D4
DDIT4,3,DDIT4
DDX17,3,DDX17
DDX21,3,DDX21
DDX41,3,DDX41
DDX55,3,DDX55
DDX58,3,DDX58
DEF8,3,DEF8
DEFA6,3,DEFA6
DEFB118,3,DEFB118
DENND1C,3,DENND1C
DENND2D,3,DENND2D
DEPDC4,3,DEPDC4
DFFB,3,DFFB
DGUOK,3,DGUOK
DHRS9,3,DHRS9
DHRSX,3,DHRSX
DHX58,3,DHX58
DIRAS3,3,DIRAS3
DKK4,3,DKK4
DLL1,3,DLL1
DMRT2,3,DMRT2
DMRTC2,3,DMRTC2
DNAH12,3,DNAH12
DNAH14,3,DNAH14
DNAI1,3,DNAI1
DNAJA2,3,DNAJA2
DNAJA3,3,DNAJA3
DNAJA4,3,DNAJA4
DNAJB5,3,DNAJB5
DNAJB6,3,DNAJB6
DNAJB9,3,DNAJB9
DNAJC11,3,DNAJC11
DNAJC28,3,DNAJC28
DNAJC5G,3,DNAJC5G
DNAJC8,3,DNAJC8
DNTTIP2,3,DNTTIP2
DOC2A,3,DOC2A
DOK2,3,DOK2
DOK7,3,DOK7
DPH1,3,DPH1
DPH7,3,DPH7
DPPA3,3,DPPA3
DRG2,3,DRG2
DTD1,3,DTD1
DUSP11,3,DUSP11
DUSP15,3,DUSP15
DUSP19,3,DUSP19
DUSP2,3,DUSP2
DUSP4,3,DUSP4
DUSP5,3,DUSP5
DUSP7,3,DUSP7
DUXA,3,DUXA
DVL1,3,DVL1
DYDC1,3,DYDC1
DYM,3,DYM
DYNAP,3,DYNAP
DYNC1LI1,3,DYNC1LI1
EARS2,3,EARS2
ECHDC3,3,ECHDC3
ECHS1,3,ECHS1
ECI1,3,ECI1
ECI2,3,ECI2
ECM2,3,ECM2
ECT2,3,ECT2
EDA,3,EDA
EDC4,3,EDC4
EDNRA,3,EDNRA
EFCAB14,3,EFCAB14
EFEMP2,3,EFEMP2
EGFL8,3,EGFL8
EGLN2,3,EGLN2
EGR2,3,EGR2
EID1,3,EID1
EID3,3,EID3
EIF4E,3,EIF4E
EIF5,3,EIF5
EIF5A2,3,EIF5A2
ELAC2,3,ELAC2
ELAVL3,3,ELAVL3
ELOVL3,3,ELOVL3
ELOVL6,3,ELOVL6
ELP5,3,ELP5
EMB,3,EMB
EMC2,3,EMC2
EMC8,3,EMC8
EMID1,3,EMID1
EMX1,3,EMX1
ENG,3,ENG
ENO1,3,ENO1
ENO2,3,ENO2
ENO3,3,ENO3
ENSA,3,ENSA
ENTPD4,3,ENTPD4
ENTPD6,3,ENTPD6
ENY2,3,ENY2
EOGT,3,EOGT
EPB41,3,EPB41
EPCAM,3,EPCAM
EPHX3,3,EPHX3
EPM2AIP1,3,EPM2AIP1
EPT1,3,EPT1
ERAS,3,ERAS
ERGIC2,3,ERGIC2
ERGIC3,3,ERGIC3
ERMAP,3,ERMAP
ERO1LB,3,ERO1LB
ETFB,3,ETFB
ETS1,3,ETS1
ETV5,3,ETV5
EXD3,3,EXD3
EXOC3,3,EXOC3
EXOC3L2,3,EXOC3L2
EXOSC10,3,EXOSC10
EXOSC2,3,EXOSC2
EXOSC9,3,EXOSC9
EZR,3,EZR
F12,3,F12
FABP9,3,FABP9
FADS2,3,FADS2
FAM101A,3,FAM101A
FAM105A,3,FAM105A
FAM107B,3,FAM107B
FAM110A,3,FAM110A
FAM117B,3,FAM117B
FAM120B,3,FAM120B
FAM132A,3,FAM132A
FAM134A,3,FAM134A
FAM151B,3,FAM151B
FAM153A,3,FAM153A
FAM160B1,3,FAM160B1
FAM161B,3,FAM161B
FAM168A,3,FAM168A
FAM174A,3,FAM174A
FAM180A,3,FAM180A
FAM187B,3,FAM187B
FAM19A1,3,FAM19A1
FAM19A3,3,FAM19A3
FAM212A,3,FAM212A
FAM229B,3,FAM229B
FAM46A,3,FAM46A
FAM78A,3,FAM78A
FAM83D,3,FAM83D
FAM98A,3,FAM98A
FAM9A,3,FAM9A
FAM9C,3,FAM9C
FANCE,3,FANCE
FANCL,3,FANCL
FARSB,3,FARSB
FAS,3,FAS
FATE1,3,FATE1
FBXL16,3,FBXL16
FBXL5,3,FBXL5
FBXO22,3,FBXO22
FBXO27,3,FBXO27
FBXO3,3,FBXO3
FBXO31,3,FBXO31
FBXO41,3,FBXO41
FCGRT,3,FCGRT
FCN3,3,FCN3
FCRLB,3,FCRLB
FDFT1,3,FDFT1
FDX1,3,FDX1
FGD2,3,FGD2
FGF7,3,FGF7
FGF9,3,FGF9
FGFBP1,3,FGFBP1
FGFBP2,3,FGFBP2
FGG,3,FGG
FGL2,3,FGL2
FIBIN,3,FIBIN
FIGF,3,FIGF
FIGLA,3,FIGLA
FIZ1,3,FIZ1
FJX1,3,FJX1
FKBP15,3,FKBP15
FKBP5,3,FKBP5
FKBPL,3,FKBPL
FLOT2,3,FLOT2
FLYWCH1,3,FLYWCH1
FMN1,3,FMN1
FNTA,3,FNTA
FOLR1,3,FOLR1
FOSL2,3,FOSL2
FOXD3,3,FOXD3
FOXD4L3,3,FOXD4L3
FOXD4L6,3,FOXD4L6
FOXI2,3,FOXI2
FOXJ2,3,FOXJ2
FOXK2,3,FOXK2
FOXN1,3,FOXN1
FOXO1,3,FOXO1
FRK,3,FRK
FSCN1,3,FSCN1
FTSJ3,3,FTSJ3
FUCA2,3,FUCA2
FUT1,3,FUT1
FUT7,3,FUT7
FXYD6,3,FXYD6
G3BP2,3,G3BP2
GABPB2,3,GABPB2
GABRR3,3,GABRR3
GAGE10,3,GAGE10
GAGE2A,3,GAGE2A
GALK1,3,GALK1
GALNT16,3,GALNT16
GALR2,3,GALR2
GAPDH,3,GAPDH
GAPT,3,GAPT
GAS6,3,GAS6
GATS,3,GATS
GBP1,3,GBP1
GBP2,3,GBP2
GDPD5,3,GDPD5
GET4,3,GET4
GFI1,3,GFI1
GFI1B,3,GFI1B
GFM2,3,GFM2
GFOD1,3,GFOD1
GFRA2,3,GFRA2
GGT6,3,GGT6
GGTLC2,3,GGTLC2
GIN1,3,GIN1
GINM1,3,GINM1
GINS4,3,GINS4
GJA3,3,GJA3
GJB7,3,GJB7
GJC3,3,GJC3
GJD4,3,GJD4
GKAP1,3,GKAP1
GKN2,3,GKN2
GLB1,3,GLB1
GLB1L2,3,GLB1L2
GLRX3,3,GLRX3
GLT8D1,3,GLT8D1
GLTSCR2,3,GLTSCR2
GLUD1,3,GLUD1
GLYR1,3,GLYR1
GMCL1,3,GMCL1
GMEB1,3,GMEB1
GML,3,GML
GNB1L,3,GNB1L
GNB2L1,3,GNB2L1
GNG13,3,GNG13
GNGT1,3,GNGT1
GNPTAB,3,GNPTAB
GOLGA6A,3,GOLGA6A
GOLGA6L10,3,GOLGA6L10
GOLGA8F,3,GOLGA8F
GOT1,3,GOT1
GP1BA,3,GP1BA
GPAT2,3,GPAT2
GPBP1,3,GPBP1
GPER1,3,GPER1
GPHB5,3,GPHB5
GPN3,3,GPN3
GPR107,3,GPR107
GPR12,3,GPR12
GPR135,3,GPR135
GPR137C,3,GPR137C
GPR155,3,GPR155
GPR160,3,GPR160
GPR162,3,GPR162
GPR27,3,GPR27
GPR84,3,GPR84
GPR87,3,GPR87
GPRC5A,3,GPRC5A
GPS1,3,GPS1
GPX1,3,GPX1
GPX7,3,GPX7
GRHPR,3,GRHPR
GRIPAP1,3,GRIPAP1
GRK1,3,GRK1
GRK4,3,GRK4
GRPEL1,3,GRPEL1
GSTA2,3,GSTA2
GSTM2,3,GSTM2
GTF2A1,3,GTF2A1
GTF2F1,3,GTF2F1
GTSE1,3,GTSE1
GTSF1,3,GTSF1
GXYLT1,3,GXYLT1
GYPA,3,GYPA
GZMA,3,GZMA
HACL1,3,HACL1
HADHA,3,HADHA
HAGH,3,HAGH
HAGHL,3,HAGHL
HARBI1,3,HARBI1
HAUS1,3,HAUS1
HAUS4,3,HAUS4
HAUS5,3,HAUS5
HBE1,3,HBE1
HBP1,3,HBP1
HCCS,3,HCCS
HCRTR1,3,HCRTR1
HCST,3,HCST
HDAC1,3,HDAC1
HDAC10,3,HDAC10
HDAC3,3,HDAC3
HDAC5,3,HDAC5
HDGFL1,3,HDGFL1
HDGFRP2,3,HDGFRP2
HDGFRP3,3,HDGFRP3
HDHD1,3,HDHD1
HEATR4,3,HEATR4
HEATR6,3,HEATR6
HECTD2,3,HECTD2
HEXIM1,3,HEXIM1
HGD,3,HGD
HHATL,3,HHATL
HHLA2,3,HHLA2
HIAT1,3,HIAT1
HIATL2,3,HIATL2
HIBCH,3,HIBCH
HIF1A,3,HIF1A
HIGD2B,3,HIGD2B
